App Name,Play Store Reviews,Play Store Downloads,Play Store Rating,App Store Reviews,App Store Rating,Usage,Agg Rating,Agg Reviews,Selection Criteria
Flipkart Online Shopping App,11736020,100000000,4.5,20500,4.6,IND,4.55,11756520,483.4016443
Wish - Shopping Made Fun,9741184,100000000,4.4,1600000,4.7,UK,4.55,11341184,466.3239627
Mercado Libre: compra fácil y rápido,8449028,100000000,4.8,6300,4.5,BRA,4.65,8455328,355.3050269
Lazada - Online Shopping & Deals,6327592,100000000,4.4,39700,4.6,SG,4.5,6367292,258.9316985
"eBay: Online Shopping Deals - Buy, Sell, and Save",3204079,100000000,4.6,1454531,4.8,FIN,4.7,4658610,197.8664455
"Amazon Shopping, UPI, Money Transfer, Bill Payment",5410260,100000000,4.3,110000,3.2,SG,3.75,5520260,187.071979
Myntra Online Shopping App - Shop Fashion & more,2717243,50000000,4.4,436200,4.6,IND,4.5,3153443,128.2376169
JOOM,2672213,100000000,4.7,57100,4.7,GER,4.7,2729313,115.9228744
Target,216082,10000000,4.6,2303793,4.9,US,4.75,2519875,108.1659446
Snapdeal Online Shopping App - Shop Online India,1839458,100000000,4.3,186,4.1,IND,4.2,1839644,69.82340414
Vova,1708353,10000000,4.4,20677,4.4,FIN,4.4,1729030,68.75007002
Club Factory - Online Shopping App,1719223,100000000,4,1700,3.9,IND,3.95,1720923,61.4294284
SHEIN-Fashion Shopping Online,1094939,100000000,4.6,174700,4.6,RUS,4.6,1269639,52.77837635
Wallmart,526252,50000000,4.1,793900,4.7,US,4.4,1320152,52.49217332
H&M - we love fashion,430231,10000000,4.8,777000,4.8,DEN,4.8,1207231,52.36601864
Wallapop - Buy & Sell Nearby,1026978,10000000,4.7,35,4.9,ESP,4.8,1027013,44.54870849
Nike,232679,10000000,4.6,668400,4.9,US,4.75,901079,38.678927
Wayfair,43942,10000000,4,835300,4.8,US,4.4,879242,34.96061321
ROMWE - Daily Outfit Fashion,242237,10000000,4.7,303100,4.7,CAN,4.7,545337,23.16225093
H&M - we love fashion,430011,10000000,4.8,77700,4.8,RUS,4.8,507711,22.02296304
Zalando – Shopping & Fashion,419210,10000000,4.7,16100,4.8,FIN,4.75,435310,18.68573534
"Kijiji: Buy, Sell and Save on Local Deals",167331,5000000,4.4,279600,4.7,CAN,4.55,446931,18.3767969
ASOS,352835,10000000,4.8,37000,4.9,ISR,4.85,389835,17.08600411
Afterpay,79844,1000000,4.8,296300,4.9,NZL,4.85,376144,16.48594387
Afterpay,79817,1000000,4.8,296100,4.9,AUS,4.85,375917,16.47599473
MRSOOL,173592,1000000,4.4,227468,4.6,KSA,4.5,401060,16.3094683
